date,day,hours,odds_a,odds_b,odds_draw,score_a,score_b,season,team_a,team_b
2019-03-03 20:00:00,Sunday,20:00,1.82,4.54,3.63,2,0,2018/2019,Marseille,St Etienne
2019-03-03 16:00:00,Sunday,16:00,1.26,11.64,6.13,5,1,2018/2019,Lyon,Toulouse
2019-03-03 14:00:00,Sunday,14:00,3.11,2.65,2.90,0,0,2018/2019,Guingamp,Nantes
2019-03-03 14:00:00,Sunday,14:00,1.60,5.88,4.04,1,0,2018/2019,Lille,Dijon
2019-03-03 14:00:00,Sunday,14:00,2.42,3.39,2.98,1,0,2018/2019,Nice,Strasbourg
2019-03-02 19:00:00,Saturday,19:00,3.34,2.29,3.25,2,2,2018/2019,Angers,Monaco
2019-03-02 19:00:00,Saturday,19:00,1.97,4.80,3.06,2,2,2018/2019,Reims,Amiens
2019-03-02 16:00:00,Saturday,16:00,13.58,1.21,7.04,1,2,2018/2019,Caen,Paris SG
2019-02-24 20:00:00,Sunday,20:00,2.94,2.41,3.48,2,0,2018/2019,Monaco,Lyon
2019-02-24 16:00:00,Sunday,16:00,2.83,2.59,3.30,1,1,2018/2019,Rennes,Marseille
2019-02-24 14:00:00,Sunday,14:00,2.15,4.07,2.98,2,4,2018/2019,Montpellier,Reims
2019-02-24 14:00:00,Sunday,14:00,2.21,3.88,3.01,1,0,2018/2019,Nantes,Bordeaux
