date,day,hours,odds_a,odds_b,odds_draw,score_a,score_b,season,team_a,team_b,outcome_effectif,min_odds,max_odds,good_pred,worst_pred,draw_pred
2019-05-21 19:45:00,Tuesday,19:45,2.98,2.74,2.75,1,2,2018/2019,Paris FC,Lens,AWAY,AWAY,HOME,1,0,0
2019-05-18 20:00:00,Saturday,20:00,2.18,3.59,3.27,0,1,2018/2019,Bordeaux,Reims,AWAY,HOME,AWAY,0,1,0
2019-05-18 20:00:00,Saturday,20:00,2.3,3.09,3.49,2,2,2018/2019,Guingamp,Nimes,DRAW,HOME,DRAW,0,1,0
2019-05-18 20:00:00,Saturday,20:00,1.62,5.54,4.0,5,0,2018/2019,Lille,Angers,HOME,HOME,AWAY,1,0,0
2019-05-18 20:00:00,Saturday,20:00,1.23,11.71,6.7,4,0,2018/2019,Lyon,Caen,HOME,HOME,AWAY,1,0,0
2019-05-18 20:00:00,Saturday,20:00,1.58,6.24,3.95,2,0,2018/2019,Monaco,Amiens,HOME,HOME,AWAY,1,0,0
2019-05-18 20:00:00,Saturday,20:00,1.87,4.24,3.68,1,1,2018/2019,Montpellier,Nantes,DRAW,HOME,AWAY,0,0,1
2019-05-18 20:00:00,Saturday,20:00,1.19,12.47,7.83,4,0,2018/2019,Paris SG,Dijon,HOME,HOME,AWAY,1,0,0
2019-05-18 20:00:00,Saturday,20:00,1.62,5.45,4.08,3,0,2018/2019,St Etienne,Nice,HOME,HOME,AWAY,1,0,0
2019-05-18 20:00:00,Saturday,20:00,2.19,3.26,3.6,0,2,2018/2019,Strasbourg,Rennes,AWAY,HOME,DRAW,0,0,1
2019-05-18 20:00:00,Saturday,20:00,3.19,2.3,3.38,2,5,2018/2019,Toulouse,Marseille,AWAY,AWAY,DRAW,1,0,0
2019-05-12 20:00:00,Sunday,20:00,2.94,2.29,3.77,0,3,2018/2019,Marseille,Lyon,AWAY,AWAY,DRAW,1,0,0
2019-05-12 16:00:00,Sunday,16:00,1.53,6.9,4.08,1,0,2018/2019,Lille,Bordeaux,HOME,HOME,AWAY,1,0,0
2019-05-12 14:00:00,Sunday,14:00,1.8,4.38,3.87,1,1,2018/2019,Rennes,Guingamp,DRAW,HOME,AWAY,0,0,1
2019-05-11 19:00:00,Saturday,19:00,2.19,3.75,3.13,0,0,2018/2019,Amiens,Toulouse,DRAW,HOME,AWAY,0,0,1
2019-05-11 19:00:00,Saturday,19:00,2.83,2.83,2.98,3,2,2018/2019,Caen,Reims,HOME,HOME,DRAW,1,0,0
2019-05-11 19:00:00,Saturday,19:00,2.02,3.75,3.54,2,1,2018/2019,Dijon,Strasbourg,HOME,HOME,AWAY,1,0,0
2019-05-11 19:00:00,Saturday,19:00,2.57,2.97,3.15,1,1,2018/2019,Nice,Nantes,DRAW,HOME,DRAW,0,1,0
2019-05-11 19:00:00,Saturday,19:00,3.73,1.93,3.83,1,0,2018/2019,Nimes,Monaco,HOME,AWAY,DRAW,0,0,1
2019-05-11 16:00:00,Saturday,16:00,5.76,1.54,4.48,1,2,2018/2019,Angers,Paris SG,AWAY,AWAY,HOME,1,0,0
2019-05-10 19:45:00,Friday,19:45,1.77,4.65,3.8,0,1,2018/2019,St Etienne,Montpellier,AWAY,HOME,AWAY,0,1,0
2019-05-05 20:00:00,Sunday,20:00,1.56,5.57,4.44,2,2,2018/2019,Lyon,Lille,DRAW,HOME,AWAY,0,0,1
2019-05-05 16:00:00,Sunday,16:00,2.14,3.3,3.64,2,3,2018/2019,Monaco,St Etienne,AWAY,HOME,DRAW,0,0,1
2019-05-05 14:00:00,Sunday,14:00,1.76,5.1,3.57,1,1,2018/2019,Montpellier,Amiens,DRAW,HOME,AWAY,0,0,1
